微博id,微博url,评论id,评论者url,评论者名字,评论时间,评论内容
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004030982266483,http://weibo.com/1789716874,蒙鲁斯,8月2日 14:20 ,"
            搞半天原来是个乌龙！ "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004018823146456,http://weibo.com/caisusu,ihadnowhereelsetogo,8月2日 13:32 ,"
            彩虹 来的时候我们根本就不觉得是什么大台风，预警提醒都不及这一次的一半，想想去年台风大湛江的全城狼藉，停水停电三天三夜都没有大的报道，哎 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004007778834306,http://weibo.com/5398644645,鹏海徙南,8月2日 12:48 ,"
            回复@PINGA-VV:狼来了，狼也真的来了，只是没那么凶！灾难预测有误差，有智商的人会理解！有防患意识的人下一次还会重视，没有的人总会碰上一次教训然后就没有下一次了！ "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004031908980901,http://weibo.com/1744263472,Air小四,8月2日 14:24 ,"
            身在广州的人民表示很支持这次台风预测和政府防御的措施，这次台风从热带低压生成到登陆时间短，若非路径预测准确，会带来多少不可预判的损失嘛！且妮妲正面袭击香港深圳广州佛山珠海等大城市，做足预防措施才能避免更大损失 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004015613975185,http://weibo.com/2260016801,Bourbon_Chen,8月2日 13:19 ,"
            去年的彩虹真的是当时是做好万全准备也抵不过台风的侵袭 整座城市停电停水了三四天 我们已经觉得只要比那些变态台风小的都不算台风了 不过还是要做好预防的 毕竟如果是因为疏忽而有损失那才是该痛心的事情 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004001936591618,http://weibo.com/5627435970,决落明子,8月2日 12:25 ,"
            这比喻  我给满分 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004004662404323,http://weibo.com/2964408030,镁铝牌火腿肠,8月2日 12:36 ,"
            比喻不要太好and有生之年经历过威马逊这被子直了！！ "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004011008781398,http://weibo.com/2018232910,什么如水,8月2日 13:01 ,"
            是否有这种感觉：当你严阵以待的时候，灾难没啥表现，可当人们漠视它的时候却让人措手不及，狼狈不堪！ "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004021813598655,http://weibo.com/3782198483,客家菇凉,8月2日 13:44 ,"
            支持你，一直都相信你的分析。这次台风不小，只是台风眼太大，让处于台风眼的人们觉得台风没有来，太嘚瑟了。如果让妮妲海上完成大眼换小眼，看登陆的时候不把那些对它冷嘲热讽的人吹得头歪嘴歪的 "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4005090219710935,http://weibo.com/1623054441,魔道不削魂,8月5日 12:29 ,"
            回复@弱碱性纸巾:吃了谁的肉？骂了谁的娘？ "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4005081218689506,http://weibo.com/2753445497,弱碱性纸巾,8月5日 11:53 ,"
            回复@魔道不削魂:所以这叫端起碗吃肉，放下碗骂娘？ "
f63bd0503c8158115391fc6fb7f87bcb,http://weibo.comhttp://weibo.com/1763864272/E1G6nBHTh,4004304207370382,http://weibo.com/alanlovejaychou,stehpoi,8月3日 08:26 ,"
            不会被除名了真好 "
