微博id,微博url,评论id,评论者url,评论者名字,评论时间,评论内容
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995712359797574,http://weibo.com/2128912927,啃诗的牙牙,7月10日 15:25 ,"
            一看评论，果然全是湛江 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995712359797574,http://weibo.com/2128912927,啃诗的牙牙,7月10日 15:25 ,"
            一看评论，果然全是湛江 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995676721913833,http://weibo.com/1705991432,为你_锋狂,7月10日 13:03 ,"
            可以，这很甚工 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995651363266271,http://weibo.com/meizxx,阿潇潇,7月10日 11:23 ,"
            甚工又任性了@_Authenticity "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995642805874401,http://weibo.com/5641735117,懒癌喝酒吗,7月10日 10:49 ,"
            我大湛江就是好天气，就是太热了 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995641358692045,http://weibo.com/2710836597,笑CCC呢,7月10日 10:43 ,"
            我们湛江又亮了…… "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995640612868531,http://weibo.com/3285969224,阿宅呀不是阿仔,7月10日 10:40 ,"
            为啥就我湛江的俩图标不一样 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995635570694720,http://weibo.com/5641735117,懒癌喝酒吗,7月10日 10:20 ,"
            我大湛江就是好天气，就是太热了 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995632828310295,http://weibo.com/5686741890,天呐名字又被注册了,7月10日 10:09 ,"
            原来湛江真的不是亲生的… "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995631766363987,http://weibo.com/1921939301,忄圣我咯,7月10日 10:05 ,"
            又黑我湛。天气君。是不是你自己P上去的 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995628810463244,http://weibo.com/5408487067,Andy-Ltr,7月10日 09:53 ,"
            湛江再次成为亮点 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995625966581320,http://weibo.com/cwingwinglau,幼稚園園花23333,7月10日 09:42 ,"
            湛江 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995621683157214,http://weibo.com/cwait,郭火箭,7月10日 09:25 ,"
            魔咒又来了 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995619569178734,http://weibo.com/1108558852,吃货郑瘦鬼锋,7月10日 09:16 ,"
            回复@广东天气:那能不能让我降温一下 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995619188383600,http://weibo.com/gdweather,广东天气,7月10日 09:15 ,"
            回复@吃货郑瘦鬼锋:这不是套路 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995619041607578,http://weibo.com/gdweather,广东天气,7月10日 09:14 ,"
            回复@张小橘: "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995617976261320,http://weibo.com/1108558852,吃货郑瘦鬼锋,7月10日 09:10 ,"
            又是湛江能不能换一个套路 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995613312292636,http://weibo.com/wynner328,Sponge_WD,7月10日 08:51 ,"
            果然。湛江。 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995612854348667,http://weibo.com/1757067557,张小橘,7月10日 08:50 ,"
            湛江一直状况外以前系广东医读书时就觉得自己好似出左广东省 "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995612543847209,http://weibo.com/2631086965,a小小明同学,7月10日 08:48 ,"
            湛江又要逆天吗？ "
07e8d34df172de90f6fca83c65127e0d,http://weibo.com/2015316631/DE7gvBT3m?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3995612074898886,http://weibo.com/zyhvz,noe_nick,7月10日 08:46 ,"
            湛江果然不是亲生的 "
0a38caa73102cf27a2c13c70d0c2a887,http://weibo.com/2015316631/Dtky1uIz7?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3969932808922647,http://weibo.com/jams802,516_Jansen,4月30日 12:06 ,"
             "
0a38caa73102cf27a2c13c70d0c2a887,http://weibo.com/2015316631/Dtky1uIz7?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3969922222289247,http://weibo.com/2752854631,叶晓敏xm,4月30日 11:24 ,"
            潮州现在暗暗的天 "
0a38caa73102cf27a2c13c70d0c2a887,http://weibo.com/2015316631/Dtky1uIz7?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3969916169915149,http://weibo.com/1972802450,丶一念执着丶,4月30日 11:00 ,"
            今天好冷 "
