发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-08-02 19:59:15,http://weibo.comhttp://weibo.com/1891273591/E1J50CzV4,f208a9d99f33de3b9d58f5651fda057f,                                                    关注#台风妮妲# 【梧州市气象台2日19时发布】2日08时-19时苍梧震区出现了大雨到暴雨，雨量为：石桥镇68，沙头镇57，木双镇40，狮寨镇36，梨埠镇35，六堡镇24毫米。预计今晚到明天，震区大部有暴雨，局部大暴雨，请注意防范。                                            ,,"
                        西江都市报",http://weibo.com/gxxjdsb?refer_flag=1008085010_,2016-08-08 10:45:36,0,0,0
2016-08-02 19:58:53,http://weibo.comhttp://weibo.com/3026901165/E1J4RakEZ,8c5d1a32c7607c22a5d8c3e102e16864,                                                    #台风妮妲# “我不能哭 ，我的眼泪是珍珠” 2深圳·深圳宝安国际机场                                            ,,"
                        往事纷至沓来_",http://weibo.com/u/3026901165?refer_flag=1008085010_,2016-08-08 10:45:36,0, 2,3
2016-08-02 19:52:46,http://weibo.comhttp://weibo.com/2811594870/E1J2nw51g,cd145d0b6905257ebc4f814cc772620b,                                                    #台风妮妲# 台风到来，你们公司上班了吗                                            ,,"
                        笑谈疯八爷",http://weibo.com/1220X1314?refer_flag=1008085010_,2016-08-08 10:45:36,0,0,1
2016-08-02 19:50:45,http://weibo.comhttp://weibo.com/2434291727/E1J1z0CcU,1be88d5eca38704ab3e7897240740fa2,                                                    刮台风，一天没出门，一觉睡到19:30，特么头老昏了饿，还好还有两包泡面…#台风妮妲##Aug.2nd，2018#                                            ,,"
                        织雨Anastasia",http://weibo.com/u/2434291727?refer_flag=1008085010_,2016-08-08 10:45:36,0, 2,0
2016-08-02 19:49:19,http://weibo.comhttp://weibo.com/3309668661/E1J0YEvTG,fea447e9d8c2c4c68577c8cb39945a8c,                                                    #台风妮妲#我只想说～这台风对我这没啥影响～不过就是天气转凉了点，没那么热了～虽然今天不上班，可把我下周的双休调成了一天，接下来三周都是单休～伤心在家一天就是吃吃睡睡～晚上咋睡得着咯～ 2佛山·里水镇                                            ,,"
                        HYQ做简单的自己",http://weibo.com/u/3309668661?refer_flag=1008085010_,2016-08-08 10:45:36,0, 5,1
2016-08-02 19:46:22,http://weibo.comhttp://weibo.com/1767913470/E1IZMvNiq,c4f3bac11dc38eeef1bdbd0bac801226,                                                    为庆祝#台风妮妲# 没有正面袭击我们，爸爸用雪柜里仅有的肉类资源，煮了个豆豉鲮鱼青口给我们吃～味道还挺不错#今日贴纸打卡#                                            ,,"
                        ckyours",http://weibo.com/u/1767913470?refer_flag=1008085010_,2016-08-08 10:45:36,0,0,0
2016-08-02 19:43:31,http://weibo.comhttp://weibo.com/5686739189/E1IYCEcLJ,d9504595e02b5f133e3e2dc7f95bfb19,"                                                    ""直击台风妮妲 汽车被吹倒着跑#台风妮妲# ""L秒拍视频（使用#秒拍#录制）                                            ",,"
                        xiaoyu07569",http://weibo.com/u/5686739189?refer_flag=1008085010_,2016-08-08 10:45:36, 1,0,2
2016-08-02 19:42:07,http://weibo.comhttp://weibo.com/5686739189/E1IY3vncM,80d11f3f1ec482405b6c58b97202bb42,                                                    车都被吹跑了#台风妮妲#(来自@秒拍)O网页链接                                            ,,"
                        xiaoyu07569",http://weibo.com/u/5686739189?refer_flag=1008085010_,2016-08-08 10:45:36,0,0,0
2016-08-02 19:41:00,http://weibo.comhttp://weibo.com/2494978177/E1IXB9cDV,45fedf8c5435d8f94507237ceeb35736,                                                    我也很欣赏你，还不感谢#台风妮妲#                                            ,,"
                        坐在浮尘中的光影",http://weibo.com/u/2494978177?refer_flag=1008085010_,2016-08-08 10:45:36,0,0,2
2016-08-02 19:37:22,http://weibo.comhttp://weibo.com/2815904415/E1IW87Ou6,7898295ba3f83c1fa4b30a95636e972a,                                                    #台风妮妲# 台风也没有阻挡我们爱逛街的心                                            ,http://ww2.sinaimg.cn/thumb180/a7d74a9fgw1f6fmpi98rij20zk0qo7el.jpg	http://ww3.sinaimg.cn/thumb180/a7d74a9fgw1f6fmq2ewm4j20qo0qodul.jpg	http://ww3.sinaimg.cn/thumb180/a7d74a9fgw1f6fmqbhyfdj20qo0zkjxo.jpg	http://ww1.sinaimg.cn/thumb180/a7d74a9fgw1f6fmqm0p97j20qo0zk7d3.jpg	http://ww3.sinaimg.cn/thumb180/a7d74a9fgw1f6fmoylkb9j20qo0zkdmo.jpg	http://ww2.sinaimg.cn/thumb180/a7d74a9fgw1f6fmr0d992j20qo0zkaif.jpg	http://ww3.sinaimg.cn/thumb180/a7d74a9fgw1f6fmrafj1nj20qo0zk0y8.jpg	http://ww2.sinaimg.cn/thumb180/a7d74a9fgw1f6fmv1aek0j20qo0tl12h.jpg	http://ww4.sinaimg.cn/thumb180/a7d74a9fgw1f6fmvdfgitj20qo0qo0z4.jpg,"
                        LOVE落小叶",http://weibo.com/u/2815904415?refer_flag=1008085010_,2016-08-08 10:45:36,0, 1,2
2016-08-02 19:36:29,http://weibo.comhttp://weibo.com/5688118668/E1IVMiif7,c3abd4a9e15cc7babe9bb89d62364bbc,                                                    一个很有趣的自拍软件#台风妮妲# 2深圳·坂田                                            ,http://ww2.sinaimg.cn/thumb180/006cWLvugw1f6fmt1f0u2j30k00zk0v2.jpg	http://ww3.sinaimg.cn/thumb180/006cWLvugw1f6fmt3pp2gj30k00zkmzr.jpg	http://ww3.sinaimg.cn/thumb180/006cWLvugw1f6fmt55u8oj30k00zkmzw.jpg,"
                        乄朱先生",http://weibo.com/u/5688118668?refer_flag=1008085010_,2016-08-08 10:45:36,0,0,0
2016-08-02 19:36:10,http://weibo.comhttp://weibo.com/1274064451/E1IVE3WAM,21bcc1be7dccb811ab0fe3b5999524bd,                                                    #台风妮妲# 风雨无阻。第一场拍摄🔚。准备第二场拍摄。能出来工作的都是真爱 2深圳·梅林（商圈）                                            ,,"
                        樊东大帝",http://weibo.com/taidyjia?refer_flag=1008085010_,2016-08-08 10:45:36, 1,0,0
2016-08-02 19:34:24,http://weibo.comhttp://weibo.com/5635509340/E1IUVpIKc,e18b5548c609ac1f796e126d8bfe1c1e,                                                    台风……#台风妮妲#                                            ,,"
                        呆到懵逼i",http://weibo.com/u/5635509340?refer_flag=1008085010_,2016-08-08 10:45:36,0, 2,4
