发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-08-09 11:40:50,http://weibo.com/5038680568/E2JObgmoF?ref=home&rid=0_0_1_2598655162116920929,be65ff1fff57bf8ea4e9343be907c634,"
                                    上周更多Android热文推荐： 《CoordinatorLayout 布局的使用方式》O网页链接 《使用属性动画实现星光四射的动画效果》O网页链接 《Intent 或持久化存储处理复杂对象》O网页链接 （更多：O网页链接 ）                            
                                                                    上周热门文章回顾：《开发者 MAC 电脑里的十八般兵器》O网页链接《18 个锻炼编程技能的网站》O网页链接《酷酷的 CSS3 三角形运用》O网页链接《Python 面试问答 Top 25》O网页链接《ThreadLocal工作原理》O网页链接《Android 资源大全》...展开全文c                                                            ImportNew：上周更多Java热文推荐： 《Spring高级应用之注入嵌套Bean》O网页链接 《Java中如何删除一个集合中的多个元素》O网页链接 《Java中ConcurrentHashMap学习》O网页链接 《JAVA中断线程的方法》O网页链接 （更多：OImportNew - 专注Java & Android 技术分享 ）Python开发者：上周更多Python热文推荐： 《Python异常编程技巧》O网页链接 《Python 实现图书超期提醒小帮手》O网页链接 《python 装饰器》O网页链接 《Python yield与实现》O网页链接 （更多：O网页链接 ）",,安卓开发频道,/androidpd?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,0,0,0
2016-08-09 11:39:57,http://weibo.com/5756099182/E2JNOt3NF?ref=home&rid=2_0_1_2598655162116920929,7686cce1c36b0610c7fde7ed5cfbd24e,"
                                    #文因海外观察#  O网页链接 越来越多的行业因为技术的介入而变得高效，但似乎高效的同时少了一些人请味。难道在结婚的时候追求的不应该是浪漫、永生难忘的经历吗？省钱、高效怎么就成了更高的追求了呢？难道在七夕的日子里你也要选择比较廉价的花束送给你最爱的人吗？                            ",,文因互联,/wenyinhulian?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,0,0,0
2016-08-09 11:39:44,http://weibo.com/1401122990/E2JNJtLW4?ref=home&rid=3_0_1_2598655162116920929,628e745a09fd94297bf75649c4e41a1e,"
                                    今天是七夕，我只想说一件事。咳咳。中国现在的人口结构严重失衡，如果说80后100人，那么90后就是56人，00后是37人。所以，请80后和80后过节，90后和90后过节，00后和00后过节，以免造成人口结构进一步恶化。谢谢。另：润米咨询出售少量“跨代券”，持有跨代券的，可不受此规定约束。欲购从速。                            ",,刘润,/runliu?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,0,0,0
2016-08-09 11:38:03,http://weibo.com/2267396400/E2JN3eMGw?ref=home&rid=4_0_1_2598655162116920929,9e4a9e97cd9e15b592b4f2b62a756921,"
                                    #火影忍者# 每个人都要走一条自己坚定了的路，就算是粉身碎骨。                            ",http://ww4.sinaimg.cn/orj480/8725b930gw1f6mp2pcx7pj21kw2cdhdu.jpg	http://ww4.sinaimg.cn/thumb180/8725b930gw1f6mp30iuijj21kw2ahqv5.jpg	http://ww3.sinaimg.cn/thumb180/8725b930gw1f6mp3a6mdkj21kw2c3kjl.jpg	http://ww4.sinaimg.cn/thumb180/8725b930gw1f6mp3qqvy2j21kw2c4qv6.jpg	http://ww1.sinaimg.cn/thumb180/8725b930gw1f6mp468g8lj21kw2cpnpe.jpg	http://ww2.sinaimg.cn/thumb180/8725b930gw1f6mp4fym22j21kw2btkjl.jpg,火影贴吧官方微博,/baiduhyrz?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,6,2,60
2016-08-09 11:37:32,http://weibo.com/3978299824/E2JMPB1Ia?ref=home&rid=5_0_1_2598655162116920929,db5e86dfaba13ffbc9284287c074b109,"
                                    吃人的垃圾居然再指责别人没人性，哈哈哈//@李斓呼吁虐童罪入刑:右边的右边～说得很到位～～～//@刘清平杂谈: //@永贞物联网分析: 儒教一方面大搞所谓仁义，一方面本质却是吃人，这种表面和实质的两极对立正是所谓厚黑学大行其道的哲学根源。这种表里不一用一个字来说就是“婊”                            
                                                                    #批儒#荀况这样鼓吹“礼莫大于圣王”，不但扭转了孔孟“不能用”的尴尬，最终使咱儒家得以“独尊”，同时也进一步论证了“移孝作忠”的正当性：鉴于君主养育民众的功劳远远超出了民众自己的父母，“子民”们自然就应该在比孝顺父母更高的程度上，无限忠于“慈父”般的伟大领袖了。                                                            ",,永贞物联网分析,/shenkeji?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,0,0,0
2016-08-09 11:37:11,http://weibo.com/2614813575/E2JMHoOJd?ref=home&rid=6_0_1_2598655162116920929,019d0d7ee75c8b3cc591956078ef4100,"
                                    #特价星期二#【浪漫七夕邂逅真爱】浪漫的日子除了和TA共享，也有低价好书的陪伴哦~多类超值好书一次看够，跟心爱的人分享一本好书，也是不错的选择哦~专题入口见下图。                            ",,多看阅读,/duokanfdj?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,0,0,3
2016-08-08 21:46:03,http://weibo.com/2240194360/E2EllhA1G?ref=home&rid=7_512_1_2598655162116920929,27cad758fa74efa2510b43952b374b88,"
                                    眾人皆玩，我獨睡。因為我自己就是：神奇寶貝。--Nico Kidwoman                            
                                    以太控：回复@Camille_小冰生快:看来有澳洲血统2333
                                    看_那是什么：Pokémon Go，文茜小妹也玩？
                                    回忆专用小萌妹丶：轉發微博 ¡查看图片",http://ww2.sinaimg.cn/orj480/8586a738jw1f6mob210arj20qo1bgtft.jpg	http://ww1.sinaimg.cn/orj480/8586a738jw1f6mob448oaj20qo1bgah2.jpg,文茜小妹大,/sisyochen?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,14,36,231
2016-08-09 11:36:10,http://weibo.com/2023791210/E2JMifHpw?ref=home&rid=8_0_1_2598655162116920929,24edd1c2a7b5c7f65dd3a9c691236401,"
                                    在大家热切关注孙杨的王者归来和傅园慧的可爱逗比时，也许少有人注意到还有一个叫做徐嘉余的泳将，他在经历两年的蛰伏后取得了男子100米仰泳银牌。受访时他哭了，他说：我们中国游泳运动员取得成绩却要面对那么多非议，真的太不容易！L秒拍视频                            ",,看书有道,/u/2023791210?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,38,28,334
2016-08-09 11:33:56,http://weibo.com/1258256457/E2JLntwcD?ref=home&rid=9_0_1_2598655162116920929,d9573e434fc5881eadb675047e8adc6d,"
                                    Wow！OneRepublic强势新单Kids单封曝光！本周五大首播！主唱Ryan Tedder表示这首歌是根据真事而创作，讲述过去和未来！目前还在拍mv，期待首播~~                            ",,Houson猴姆,/houson100037?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,35,12,176
2016-08-09 11:29:03,http://weibo.com/1686815607/E2JJoCnWd?ref=home&rid=11_0_1_2598655162116920929,3d46e7c567cc7709631b26a6d9a64f95,"
                                    夏日清凉  |  来自西班牙画家 Josep Moncada                            ",http://ww1.sinaimg.cn/thumb180/648ac377gw1f6mnyvvirjj20e80e8gmm.jpg	http://ww4.sinaimg.cn/thumb180/648ac377gw1f6mnyxalrmj20fo0fojsl.jpg	http://ww1.sinaimg.cn/thumb180/648ac377gw1f6mnywd7wej20e80e8jso.jpg	http://ww4.sinaimg.cn/thumb180/648ac377gw1f6mnyxnpdmj20fo0fowg3.jpg	http://ww2.sinaimg.cn/thumb180/648ac377gw1f6mnz0eyc7j20e80e8t9y.jpg	http://ww4.sinaimg.cn/thumb180/648ac377gw1f6mnyykr3aj20fo0fodh7.jpg	http://ww2.sinaimg.cn/thumb180/648ac377gw1f6mnyzf3tuj20fo0fomyn.jpg	http://ww2.sinaimg.cn/thumb180/648ac377gw1f6mnz00um7j20fo0fojsp.jpg	http://ww3.sinaimg.cn/thumb180/648ac377gw1f6mnz1c7m0j20fo0fognd.jpg,意匠id,/mdabao?refer_flag=0000015010_&from=feed&loc=nickname,2016-08-09 11:42:03,43,7,133
