发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-05-27 10:11:57,http://weibo.com/2015316631/Dxr3Ggphe?from=page_1001062015316631_profile&wvr=6&mod=weibotime,6b0d68d98eeb1d403e41a12a0e6491da,"
                                                                                                    【雨情实况】热带低压怎肯悄无声息，看雷达图上，其外围云团带来的降水已经分散在广东中南部地区。除了防风还要防雨，注意防御强降水及其引发的中小河流域洪水、城乡积涝、山洪、山体滑坡等灾害。雨大时驾车视野受影响，要注意慢行，路面出现积水时，注意观察，不要贸然淌水。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,5,3,7
2016-05-27 09:24:05,http://weibo.com/2015316631/DxqKfywEd?from=page_1001062015316631_profile&wvr=6&mod=weibotime,91692dfab9fdbc30fdddb45f72dc58d1,"
                                                                                                    【生活提醒】1.海面有大浪及有涌浪，最好远离岸边及停止所有水上活动。2. 采取各种预防措施，保护房屋及财物的安全，将所有容易被风吹倒的物件绑紧；室外家俬、花盆及可能被风吹倒的物件亦应搬入室内。请再检查所有门窗是否可以关闭。不要觉得小编啰嗦，防灾减灾意识最重要！                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,15,2,5
2016-05-27 09:10:00,http://weibo.com/2015316631/DxqExdP8e?from=page_1001062015316631_profile&wvr=6&mod=weibotime,8b335a130e95cc262bbb82fc71d29998,"
                                                                                                    【台风蓝色预警信号】含义: 24小时内可能受热带气旋影响,平均风力可达6级以上，或阵风7级以上；或者已经受热带气旋影响, 平均风力为6～7级，或阵风7～8级并可能持续。防御：1、做好防风准备；2、注意热带气旋最新消息和有关通知；3、固紧门窗、围板、棚架、临时搭建物，妥善安置易受影响的室外物品。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,12,10,7
2016-05-27 08:58:05,http://weibo.com/2015316631/DxqzHk4zy?from=page_1001062015316631_profile&wvr=6&mod=weibotime,e6ca565ed90bf8fff68fb2a887c5fded,"
                                                                                                    【热带低压消息】27日08时热带低压中心位于阳江偏南方约180公里的南海西北部海面上，中心附近最大风力7级（14米/秒），预计低压中心将以20公里左右的时速向北偏西方向移动，强度变化不大，将于27日傍晚前后以热带低压的强度在吴川到台山一带沿海地区登陆，登陆后逐渐减弱。请做好热带低压的各项防御。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,30,13,10
2016-05-27 08:34:56,http://weibo.com/2015316631/DxqqiAq0J?from=page_1001062015316631_profile&wvr=6&mod=weibotime,0f6bd253285d91f2f118b86d4f6c151e,"
                                                                                                    【广东城市天气】今天（27日）粤西、粤东、珠江三角洲南部市县有大雨到暴雨局部大暴雨，雷雨时伴有8级以上的短时大风，其余市县有（雷）阵雨局部暴雨。请注意防御强降水、雷电和大风。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,5,6,1
2016-05-27 00:16:56,http://weibo.com/2015316631/DxnaaacPI?from=page_1001062015316631_profile&wvr=6&mod=weibotime,3654ecede66660b6e6e9b9cb9d14e345,"
                                                                                                    【热带低压消息】今晚23时，南海热带低压中心位于北纬18.9度，东经113.0度，即我市偏南方约370公里的海面上，中心附近最大风力12m/s(6级)，预计将以20公里的时速向北偏西方向移动，继续靠近珠三角西部至粤西沿海。                                            
                                                                                                    【热带低压消息】今晚23时，南海热带低压中心位于北纬18.9度，东经113.0度，即我市偏南方约370公里的海面上，中心附近最大风力12m/s(6级)，预计将以20公里的时速向北偏西方向移动，继续靠近珠三角西部至粤西沿海。珠海市气象台26日23时54分发布                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,9,13,9
2016-05-26 23:30:17,http://weibo.com/2015316631/DxmRebFmA?from=page_1001062015316631_profile&wvr=6&mod=weibotime,91798e71f34808657a950d6bc5f5f1b7,"
                                                                                                    【台风蓝色预警信号】南海热带低压正在逐步靠近我省，截至26日23时，东莞、茂名、阳江、湛江、中山等13个市县台风蓝色预警信号正在生效，深圳、珠海等5个市县台风白色预警信号正在生效。请注意做好防御工作。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,26,27,17
2016-05-26 21:54:20,http://weibo.com/2015316631/DxmehqjdT?from=page_1001062015316631_profile&wvr=6&mod=weibotime,65ea4ab3eaaed0edc1de20aa42b98c43,"
                                                                                                    预计：这个热带低压将以15到20公里的时速向西北方向移动，强度维持或略有增强，将于27日中午到上半夜以热带低压的强度在江门到茂名一带沿海地区登陆，请注意防御。                                            
                                                                                                    【南海热带消息】26日20时，南海热带低压中心位于湛江东南方约450公里的南海北部海面上，中心附近最大风力6级（12米/秒）、阵风7级。预计：这个热带低压将以15到20公里的时速向西北方向移动，强度维持或略有增强，将于27日中午到上半夜以热带低压的强度在江门到茂名一带沿海地区登陆。受热带低压影响，...展开全文c                                                            ",http://ww1.sinaimg.cn/orj480/7e3ea96egw1f494i58h9rj20b1077q3c.jpg	http://ww3.sinaimg.cn/orj480/7e3ea96egw1f494iavxk3j20ia0czt94.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,20,14,6
2016-05-26 16:19:36,http://weibo.com/2015316631/Dxk2pxk2P?from=page_1001062015316631_profile&wvr=6&mod=weibotime,8f44ac78798ad94d6bd742b8bf1a25f7,"
                                                                                                    【热带低压生成！！】原在西沙群岛附近海面的季风云团已于26日14时发展为热带低压，其中心位于阳江偏东南方约440公里的南海西北部海面上，中心附近最大风力6级（12米/秒），预计强度维持或略有增强，将于27日中午到上半夜以热带低压的强度在江门到茂名一带沿海地区登陆！                                            ",http://ww3.sinaimg.cn/orj480/781f4a97gw1f48v0drz9gj20m90e2jtf.jpg	http://ww2.sinaimg.cn/orj480/781f4a97gw1f48v0ddv6oj20k50iiwjr.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,28,15,13
2016-05-26 16:02:52,http://weibo.com/2015316631/DxjVCsyiY?from=page_1001062015316631_profile&wvr=6&mod=weibotime,effdf14692db0cf78b5a90f483ffc5fe,"
                                                                                                    【入夏多雨时 防病抗菌养生全攻略】初夏时节，也是多雨的季节，处处潮湿沉闷，细菌增生，让人倍感不适与疲倦，稍不注意就会患上各种疾病。那么，如何在初夏多雨时节调节和保健身体成了应该关注的话题。下面，小编就与你分享出现对抗雨天、防细菌偷袭的养生全攻略。                                             ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,13,1,6
2016-05-26 15:13:44,http://weibo.com/2015316631/DxjBG9jGm?from=page_1001062015316631_profile&wvr=6&mod=weibotime,02ebc44206eafdd24a33dc6d0f7f69a7,"
                                                                                                    荷花开得不错哦~图9那哥们的装备可以                                            
                                                                                                    荷花骄欲语，吸引尝花人@唱吧新人K先生 @海婷天生快活人 @郭思思-cCcCcC @高姨快活人 @DJ猪红 @sasa哋愛 @向往阳光与海滩 @广东天气 @广州日报 @广州天气 2广州·流花湖公园(南门)                                                            ",http://ww1.sinaimg.cn/thumb180/c0aa89d2gw1f48l2568fbj20zq0qo0yh.jpg	http://ww3.sinaimg.cn/thumb180/c0aa89d2gw1f48l23yg1wj20zq0qodlz.jpg	http://ww3.sinaimg.cn/thumb180/c0aa89d2gw1f48l26wwt9j20zq0qowlh.jpg	http://ww1.sinaimg.cn/thumb180/c0aa89d2gw1f48l28q1hsj20zq0qo45z.jpg	http://ww2.sinaimg.cn/thumb180/c0aa89d2gw1f48l2a6ly9j20zq0qon2u.jpg	http://ww3.sinaimg.cn/thumb180/c0aa89d2gw1f48l2bqdf1j20zq0qotfb.jpg	http://ww3.sinaimg.cn/thumb180/c0aa89d2gw1f48l2d2zcrj20zq0qojxj.jpg	http://ww3.sinaimg.cn/thumb180/c0aa89d2gw1f48l2endmbj20zq0qoagx.jpg	http://ww2.sinaimg.cn/thumb180/c0aa89d2gw1f48l2hl4jhj20zq0qok4b.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,4,3,9
2016-05-26 15:09:05,http://weibo.com/2015316631/DxjzNpCjD?from=page_1001062015316631_profile&wvr=6&mod=weibotime,6351a70f15a3c99b612c134a1d39d32a,"
                                                                                                    哈哈哈哈 评论里都是诗人                                            
                                                                                                    上联：南部沿海，局部有雨下联？                                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,0,7,5
2016-05-26 14:32:31,http://weibo.com/2015316631/DxjkWCAl6?from=page_1001062015316631_profile&wvr=6&mod=weibotime,93a3cc67dcf553fef86662a15cbbb2d0,"
                                                                                                    上联：南部沿海，局部有雨下联？                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,7,37,8
2016-05-26 10:59:14,http://weibo.com/2015316631/DxhWnlG04?from=page_1001062015316631_profile&wvr=6&mod=weibotime,683cb51ce2cae23a654417e2e1e95125,"
                                                                                                    【今晚到明后天南部有大雨到暴雨局部大暴雨】今晚到明天白天粤西、粤东、珠江三角洲南部市县有大雨到暴雨局部大暴雨，雷雨时伴有8级以上的短时大风，其余有（雷）阵雨局部暴雨。27日夜间-28日粤西大部市县有中到大雨局部暴雨，其余有（雷）阵雨。沿海和南海北部海面风力较大，海上作业需注意安全。                                            ",,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,16,3,7
2016-05-26 10:23:39,http://weibo.com/2015316631/DxhHW1u1F?from=page_1001062015316631_profile&wvr=6&mod=weibotime,97d806723fa1debb154fceeca57373ce,"
                                                                                                    目前是个热带扰动，或者说是热带云团，还不是个台风，预计将在粤西上岸，带来大雨局部暴雨！未来的发展，我们一起共同关注！                                            
                                                                                                    南海有个啥？                                                            ",http://ww1.sinaimg.cn/orj480/781f4a97gw1f48kc9u0raj20tm0ghq4h.jpg	http://ww2.sinaimg.cn/orj480/781f4a97gw1f48kcaeh0hj20tt0ga0v3.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,11,12,12
2016-05-26 10:10:20,http://weibo.com/2015316631/DxhCwAVSX?from=page_1001062015316631_profile&wvr=6&mod=weibotime,c188c5f28dbb4a9b5f37ede23f6e9928,"
                                                                                                    南海有个啥？                                            ",http://ww1.sinaimg.cn/orj480/781f4a97gw1f48kc9u0raj20tm0ghq4h.jpg	http://ww2.sinaimg.cn/orj480/781f4a97gw1f48kcaeh0hj20tt0ga0v3.jpg,广东天气,http://weibo.com/910620121?refer_flag=1005055013_,2016-08-14 08:09:06,16,36,13
