发布时间,微博url,微博id,微博内容,图片url,发布者名称,发布者主页url,爬取时间,转发个数,评论个数,点赞个数
2016-02-06 12:05:05,http://weibo.com/2093990164/Dgzmu7FsF?from=page_1005052093990164_profile&wvr=6&mod=weibotime,32f91edb61dbf56e96b23f01f7ada51e,"
                                                                                                    G15深汕西高速往汕头方向，K2770(白云仔站至鲘门站路段)，2016年02月06日 11时37分，因车流量大，现场交通缓慢。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,0
2016-02-06 12:04:22,http://weibo.com/2093990164/Dgzmc3HzB?from=page_1005052093990164_profile&wvr=6&mod=weibotime,8953235203b2d6039236cdbd33c17399,"
                                                                                                    G15开阳高速往海南方向大槐停车区，2016年02月06日 12时00分，因停车区车位饱和，交警采取交通管制，该停车区往海南方向入口间断性封闭，车辆停车、休息请提前准备。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,0
2016-02-06 12:03:14,http://weibo.com/2093990164/DgzlJr9Nk?from=page_1005052093990164_profile&wvr=6&mod=weibotime,9d9c75c7ff018efa423d3b6a859cf8bc,"
                                                                                                    G35广惠高速往深汕高速方向，K1860+799(广惠高速博罗站至惠河高速四角楼站路段)，2016年02月06日 11时30分，受惠河高速车流量大影响，现场行车缓慢。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,1,0
2016-02-06 01:55:00,http://weibo.com/2093990164/DgvmRdZJ8?from=page_1005052093990164_profile&wvr=6&mod=weibotime,02f370937efd96c98fbdd001dda87b07,"
                                                                                                    G15开阳高速往海南方向，K3207+950（圣堂站至恩城站路段），2016年02月06日 01时17分，发生三辆小车追尾事故，现场交通缓慢。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,0
2016-02-05 22:42:38,http://weibo.com/2093990164/Dgu6LzJJH?from=page_1005052093990164_profile&wvr=6&mod=weibotime,af052b557374d5d4e14458179d9edc53,"
                                                                                                    G15阳茂高速往海南方向，K3318+813(织篢站至新墟站路段)，2016年02月05日 22时35分，主线车流量大，现场交通缓慢。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,0
2016-02-05 21:43:36,http://weibo.com/2093990164/DgtIOqW5r?from=page_1005052093990164_profile&wvr=6&mod=weibotime,6a2f75abf21ff570fabd72b8bebd5d6d,"
                                                                                                    G15深汕西高速往汕头方向圆墩隧道，K2768(白云仔站至鲘门站路段)，2016年02月05日 21时40分，因车流量大，现场交通缓慢，可选白云仔站下高速公路绕行324国道至鲘门站上。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,0
2016-02-05 21:41:17,http://weibo.com/2093990164/DgtHRDUxn?from=page_1005052093990164_profile&wvr=6&mod=weibotime,14726122881ad774bd0a602544a64854,"
                                                                                                    G15深汕西：2016年2月5日 21:15往汕头方向圆墩山隧道内交通事故处理完毕（白云仔至后门），交通恢复正常。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,1
2016-02-05 21:28:36,http://weibo.com/2093990164/DgtCIvefF?from=page_1005052093990164_profile&wvr=6&mod=weibotime,997266cb5bb1f3354ac67d90ed229cff,"
                                                                                                    G15佛开高速往海南方向，K3140(佛开共和互通至新台司前站路段)，2016年02月05日21时24分，车流量大，现场交通缓慢。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,0
2016-02-05 21:28:15,http://weibo.com/2093990164/DgtCzEs1g?from=page_1005052093990164_profile&wvr=6&mod=weibotime,de280bab33c0fbde6a02bbce4454f4d8,"
                                                                                                    G15开阳高速往海南方向，K3256+800(北惯站至阳江站路段)，2016年02月05日 20时58分，主线车流量大，现场交通缓慢。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,2,0
2016-02-05 18:34:35,http://weibo.com/2093990164/Dgsu5jFSO?from=page_1005052093990164_profile&wvr=6&mod=weibotime,7842d6828506748e4833b95688b45dc3,"
                                                                                                    G80云梧高速往广西方向，K093+750(广云云浮东站至云梧云安站路段)，2016年02月05日 17时10分，因车流量大，现场交通缓慢。                                            ",,广东高速,http://weibo.com/u/2093990164?refer_flag=1005055013_,2016-08-09 11:40:38,0,0,0
